cosine_feature,count_feature,hr_std,time_feature,psg_label
-0.258819,38.634412,0.524519,0.0,0
-0.260926,31.640606,0.514774,0.008333,0
-0.263031,22.570999,0.49723,0.016667,0
-0.265135,19.341522,0.489079,0.025,0
-0.267238,21.960207,0.482398,0.033333,0
-0.26934,23.748017,0.465207,0.041667,0
-0.27144,19.761946,0.429916,0.05,0
-0.27354,11.934657,0.396868,0.058333,0
-0.275637,5.16166,0.401716,0.066667,0
-0.277734,1.592834,0.384375,0.075,0
-0.279829,0.350075,0.331947,0.083333,0
-0.281923,0.054713,0.273137,0.091667,0
-0.284015,0.006073,0.260579,0.1,0
-0.286106,0.000497,0.263508,0.108333,0
-0.288196,0.000273,0.243641,0.116667,0
-0.290285,0.00219,0.212001,0.125,0
-0.292372,0.013705,0.223314,0.133333,0
-0.294457,0.06056,0.22029,0.141667,0
-0.296542,0.189013,0.208484,0.15,0
-0.298624,0.416834,0.207511,0.158333,0
-0.300706,0.649727,0.206062,0.166667,0
-0.302786,0.715929,0.201097,0.175,0
-0.304864,0.557694,0.204933,0.183333,0
-0.306941,0.307091,0.212658,0.191667,0
-0.309017,0.119504,0.221325,0.2,0
-0.311091,0.032854,0.236511,0.208333,0
-0.313164,0.006378,0.25676,0.216667,0
-0.315235,0.000874,0.267025,0.225,0
-0.317305,8.4e-05,0.268988,0.233333,0
-0.319373,6e-06,0.26748,0.241667,0
-0.321439,0.0,0.253778,0.25,0
-0.323505,0.0,0.228241,0.258333,0
-0.325568,0.0,0.193004,0.266667,0
-0.32763,0.0,0.163761,0.275,0
-0.329691,0.0,0.158837,0.283333,1
-0.33175,0.0,0.162363,0.291667,1
-0.333807,0.0,0.165342,0.3,1
-0.335863,0.0,0.164495,0.308333,1
-0.337917,0.0,0.158914,0.316667,2
-0.339969,0.0,0.145891,0.325,2
-0.34202,0.0,0.128294,0.333333,2
-0.344069,0.0,0.105786,0.341667,2
-0.346117,0.0,0.088337,0.35,2
