cosine_feature,count_feature,hr_std,hr_mean,time_feature,psg_label
-0.258819,38.634412,0.524519,0.997506,0.0,0
-0.260926,31.640606,0.514774,0.999304,0.008333,0
-0.263031,22.570999,0.49723,0.999647,0.016667,0
-0.265135,19.341522,0.489079,1.00315,0.025,0
-0.267238,21.960207,0.482398,1.006679,0.033333,0
-0.26934,23.748017,0.465207,1.009323,0.041667,0
-0.27144,19.761946,0.429916,1.011198,0.05,0
-0.27354,11.934657,0.396868,1.012801,0.058333,0
-0.275637,5.16166,0.401716,1.015329,0.066667,0
-0.277734,1.592834,0.384375,1.013958,0.075,0
-0.279829,0.350075,0.331947,1.010573,0.083333,0
-0.281923,0.054713,0.273137,1.003727,0.091667,0
-0.284015,0.006073,0.260579,1.006208,0.1,0
-0.286106,0.000497,0.263508,1.008439,0.108333,0
-0.288196,0.000273,0.243641,1.00965,0.116667,0
-0.290285,0.00219,0.212001,1.011131,0.125,0
-0.292372,0.013705,0.223314,1.009066,0.133333,0
-0.294457,0.06056,0.22029,1.005573,0.141667,0
-0.296542,0.189013,0.208484,1.005641,0.15,0
-0.298624,0.416834,0.207511,1.004343,0.158333,0
-0.300706,0.649727,0.206062,1.004039,0.166667,0
-0.302786,0.715929,0.201097,1.00417,0.175,0
-0.304864,0.557694,0.204933,1.00398,0.183333,0
-0.306941,0.307091,0.212658,1.000448,0.191667,0
-0.309017,0.119504,0.221325,0.998333,0.2,0
-0.311091,0.032854,0.236511,0.995631,0.208333,0
-0.313164,0.006378,0.25676,0.992958,0.216667,0
-0.315235,0.000874,0.267025,0.990421,0.225,0
-0.317305,8.4e-05,0.268988,0.987794,0.233333,0
-0.319373,6e-06,0.26748,0.985504,0.241667,0
-0.321439,0.0,0.253778,0.984689,0.25,0
-0.323505,0.0,0.228241,0.980766,0.258333,0
-0.325568,0.0,0.193004,0.9719,0.266667,0
-0.32763,0.0,0.163761,0.968333,0.275,0
-0.329691,0.0,0.158837,0.968583,0.283333,1
-0.33175,0.0,0.162363,0.966602,0.291667,1
-0.333807,0.0,0.165342,0.963081,0.3,1
-0.335863,0.0,0.164495,0.960641,0.308333,1
-0.337917,0.0,0.158914,0.957641,0.316667,2
-0.339969,0.0,0.145891,0.955544,0.325,2
-0.34202,0.0,0.128294,0.95316,0.333333,2
-0.344069,0.0,0.105786,0.951333,0.341667,2
-0.346117,0.0,0.088337,0.949121,0.35,2
-0.348163,0.0,0.078487,0.947929,0.358333,2
-0.350207,0.0,0.073887,0.947612,0.366667,2
-0.35225,0.0,0.073276,0.947371,0.375,2
-0.354291,0.0,0.07123,0.947823,0.383333,2
-0.35633,0.0,0.070414,0.947746,0.391667,2
-0.358368,0.0,0.067168,0.948092,0.4,2
-0.360404,0.0,0.066775,0.948662,0.408333,2
-0.362438,0.0,0.083473,0.947967,0.416667,2
-0.36447,0.0,0.098581,0.949487,0.425,2
-0.366501,0.0,0.114765,0.951939,0.433333,2
-0.36853,0.0,0.130999,0.954925,0.441667,2
-0.370557,0.0,0.134968,0.954496,0.45,2
-0.372583,0.0,0.136456,0.956122,0.458333,2
-0.374607,0.0,0.137966,0.959104,0.466667,3
-0.376629,0.0,0.138705,0.960958,0.475,3
-0.378649,0.0,0.132302,0.962921,0.483333,3
-0.380667,0.0,0.127041,0.964804,0.491667,3
-0.382683,0.0,0.124914,0.967425,0.5,3
-0.384698,0.0,0.1236,0.968737,0.508333,3
-0.386711,0.0,0.116583,0.970554,0.516667,3
-0.388722,0.0,0.10599,0.972246,0.525,3
-0.390731,0.0,0.100098,0.972919,0.533333,3
-0.392738,0.0,0.091059,0.974093,0.541667,3
-0.394744,0.0,0.082278,0.975314,0.55,3
-0.396747,0.0,0.066444,0.976112,0.558333,3
-0.398749,0.0,0.053649,0.977516,0.566667,3
-0.400749,0.0,0.050579,0.979025,0.575,3
-0.402747,0.0,0.053708,0.979804,0.583333,3
-0.404743,0.0,0.055499,0.979766,0.591667,3
-0.406737,0.0,0.056115,0.980208,0.6,3
-0.408729,0.0,0.054642,0.980443,0.608333,3
-0.410719,0.0,0.05631,0.98117,0.616667,3
-0.412707,0.0,0.058325,0.981554,0.625,3
-0.414693,0.0,0.058809,0.982,0.633333,3
-0.416677,0.0,0.063048,0.982808,0.641667,3
-0.41866,0.0,0.065648,0.983491,0.65,3
-0.42064,0.0,0.066601,0.983554,0.658333,3
-0.422618,0.0,0.066742,0.984083,0.666667,3
-0.424595,0.0,0.066419,0.984025,0.675,3
-0.426569,0.0,0.065952,0.984496,0.683333,3
-0.428541,0.0,0.064934,0.985246,0.691667,3
-0.430511,0.0,0.056801,0.98592,0.7,3
-0.432479,0.0,0.043994,0.987246,0.708333,3
-0.434445,0.0,0.033912,0.987718,0.716667,3
-0.436409,0.0,0.028167,0.987798,0.725,3
-0.438371,0.0,0.027411,0.988054,0.733333,3
-0.440331,0.0,0.028171,0.988064,0.741667,3
-0.442289,0.0,0.029567,0.9884,0.75,3
-0.444244,0.0,0.032496,0.988674,0.758333,3
-0.446198,0.0,0.034134,0.988823,0.766667,3
-0.448149,0.0,0.032642,0.989573,0.775,3
-0.450098,0.0,0.032728,0.989585,0.783333,3
-0.452046,0.0,0.033659,0.989579,0.791667,3
-0.45399,0.0,0.064332,0.98981,0.8,3
-0.455933,0.0,0.073377,0.989918,0.808333,3
-0.457874,0.0,0.106263,0.989391,0.816667,3
-0.459812,0.0,0.153178,0.989467,0.825,3
-0.461749,0.0,0.174642,0.991276,0.833333,3
-0.463683,1e-06,0.178545,0.997547,0.841667,3
-0.465615,1.3e-05,0.184129,0.993092,0.85,3
-0.467544,0.000158,0.22424,0.988404,0.858333,3
-0.469472,0.00138,0.299064,0.985294,0.866667,3
-0.471397,0.008449,0.370384,0.981605,0.875,3
-0.47332,0.036278,0.38353,0.978659,0.883333,3
-0.47524,0.109246,0.386789,0.97679,0.891667,3
-0.477159,0.230742,0.389119,0.974618,0.9,3
-0.479075,0.341835,0.391062,0.97254,0.908333,3
-0.480989,0.35521,0.391085,0.970083,0.916667,0
-0.4829,0.2589,0.390261,0.96802,0.925,0
-0.48481,0.132358,0.389832,0.964973,0.933333,0
-0.486717,0.04746,0.388528,0.962823,0.941667,0
-0.488621,0.011936,0.384961,0.961571,0.95,1
-0.490524,0.002105,0.380005,0.959375,0.958333,2
-0.492424,0.00026,0.379845,0.958352,0.966667,2
-0.494321,2.3e-05,0.378751,0.957513,0.975,2
-0.496217,1e-06,0.355899,0.95671,0.983333,2
-0.498109,0.0,0.32084,0.956765,0.991667,2
-0.5,0.0,0.296526,0.953976,1.0,3
-0.501888,0.0,0.28832,0.947782,1.008333,3
-0.503774,6e-06,0.290648,0.954652,1.016667,3
-0.505657,0.000128,0.285376,0.957665,1.025,3
-0.507538,0.001919,0.253942,0.956958,1.033333,3
-0.509417,0.020146,0.199105,0.958827,1.041667,3
-0.511293,0.148288,0.19177,0.960429,1.05,3
-0.513167,0.765445,0.199771,0.963804,1.058333,3
-0.515038,2.771009,0.246462,0.967182,1.066667,3
-0.516907,7.03565,0.279873,0.972565,1.075,3
-0.518773,12.529433,0.3172,0.977331,1.083333,3
-0.520637,15.650608,0.334625,0.981689,1.091667,3
-0.522499,13.712231,0.346112,0.986493,1.1,0
-0.524357,8.426735,0.35711,0.992118,1.108333,2
-0.526214,3.632241,0.366375,0.995939,1.116667,2
-0.528068,1.098087,0.377592,1.001776,1.125,5
-0.529919,0.232821,0.379608,1.005728,1.133333,5
-0.531768,0.034618,0.376614,1.007116,1.141667,5
-0.533615,0.003609,0.371744,1.008851,1.15,5
-0.535458,0.000264,0.375916,1.00915,1.158333,5
-0.5373,1.4e-05,0.377739,1.010151,1.166667,5
-0.539138,0.0,0.392047,1.014497,1.175,5
-0.540974,0.0,0.420854,1.01704,1.183333,5
